"id","celebrity1_id","source","celebrity2_id","target","weight"
"1","111871312","RanaDaggubati","87174678","MirzaSania","34"
"2","111871312","RanaDaggubati","347257032","ash_r_dhanush","1"
"3","111871312","RanaDaggubati","43017766","RGVzoomin","1"
"4","2222673457","rsprasad","1447949844","AmitShahOffice","2"
"5","2222673457","rsprasad","471741741","PMOIndia","14"
"6","2222673457","rsprasad","207809313","BJP4India","4"
"7","2222673457","rsprasad","2541363451","HMOIndia","8"
"8","2222673457","rsprasad","57948579","yadavakhilesh","1"
"9","2222673457","rsprasad","405427035","ArvindKejriwal","1"
"10","2222673457","rsprasad","130104041","smritiirani","2"
"11","2222673457","rsprasad","36327407","htTweets","1"
"12","2222673457","rsprasad","1227253801","adgpi","1"
"13","2222673457","rsprasad","231033118","PIB_India","1"
"14","2222673457","rsprasad","18839785","narendramodi","15"
"15","2222673457","rsprasad","1346439824","BJPRajnathSingh","2"
"16","2222673457","rsprasad","240649814","timesnow","3"
"17","2222673457","rsprasad","1324334436","PiyushGoyal","1"
"18","2222673457","rsprasad","2686834802","mygovindia","4"
"19","2222673457","rsprasad","42606652","aajtak","1"
"20","2222673457","rsprasad","350128848","ShahnawazBJP","1"
"21","2222673457","rsprasad","134758540","timesofindia","1"
"22","2222673457","rsprasad","373410448","M_Lekhi","3"
"23","2222673457","rsprasad","85221650","ncbn","1"
"24","2222673457","rsprasad","513067381","satyamevjayate","1"
"25","65659343","ajaydevgn","2183816041","arunjaitley","1"
"26","65659343","ajaydevgn","113419517","iHrithik","5"
"27","65659343","ajaydevgn","6509832","ibnlive","6"
"28","65659343","ajaydevgn","94163409","sonakshisinha","26"
"29","65659343","ajaydevgn","477875139","ErosNow","24"
"30","65659343","ajaydevgn","53556894","MaheshNBhatt","1"
"31","65659343","ajaydevgn","700568101","PDdancing","25"
"32","65659343","ajaydevgn","230140702","iam_juhi","1"
"33","65659343","ajaydevgn","99642673","taran_adarsh","53"
"34","65659343","ajaydevgn","339600819","KBCsony","1"
"35","65659343","ajaydevgn","18839785","narendramodi","6"
"36","65659343","ajaydevgn","31348594","akshaykumar","1"
"37","65659343","ajaydevgn","35695228","filmfare","2"
"38","65659343","ajaydevgn","84310561","ETCBollywood","24"
"39","65659343","ajaydevgn","18354016","ZoomTV","2"
"40","65659343","ajaydevgn","134758540","timesofindia","2"
"41","65659343","ajaydevgn","1492538024","KapilSharmaK9","2"
"42","65659343","ajaydevgn","132385468","BeingSalmanKhan","1"
"43","65659343","ajaydevgn","145125358","SrBachchan","6"
"44","169058509","Raghav_Bahl","586361294","RonnieScrewvala","1"
"45","2677681358","FCGoaOfficial","113419517","iHrithik","4"
"46","2677681358","FCGoaOfficial","2585481402","KBFCOfficial","21"
"47","2677681358","FCGoaOfficial","71201743","imVkohli","260"
"48","2677681358","FCGoaOfficial","2604848317","atletidekolkata","20"
"49","2677681358","FCGoaOfficial","1894112550","IndSuperLeague","349"
"50","2677681358","FCGoaOfficial","44635677","DabbooRatnani","2"
"51","2677681358","FCGoaOfficial","54829997","AnushkaSharma","6"
"52","2677681358","FCGoaOfficial","1026332905","StarSportsIndia","7"
"53","2677681358","FCGoaOfficial","2561057052","FCPuneCity","171"
"54","2677681358","FCGoaOfficial","135421739","sachin_rt","3"
"55","2677681358","FCGoaOfficial","366947884","Varun_dvn","9"
"56","56039856","abhijitmajumder","75509967","rahulkanwal","2"
"57","373280952","drramansingh","471741741","PMOIndia","3"
"58","373280952","drramansingh","207809313","BJP4India","1"
"59","373280952","drramansingh","18839785","narendramodi","3"
"60","373280952","drramansingh","87174678","MirzaSania","25"
"61","41552881","Kailashkher","55520719","shreyaghoshal","1"
"62","16507391","MTVIndia","93825359","StarPlus","1"
"63","16507391","MTVIndia","147019183","Kritika_Kamra","1"
"64","16507391","MTVIndia","47753886","nikhilchinapa","20"
"65","16507391","MTVIndia","183230911","aliaa08","1"
"66","16507391","MTVIndia","13149332","ChannelvIndia","1"
"67","61156375","yrf","17710740","dna","3"
"68","61156375","yrf","99642673","taran_adarsh","3"
"69","61156375","yrf","1243173036","RedChilliesEnt","4"
"70","61156375","yrf","68497896","RanveerOfficial","9"
"71","61156375","yrf","33801019","ParineetiChopra","5"
"72","61156375","yrf","84310561","ETCBollywood","15"
"73","61156375","yrf","2243499816","HNY","4"
