"sno","nodes","id","celebrity_twitter_id","weight"
"1","aajtak","aajtak","42606652","2559"
"2","AamAadmiParty","AamAadmiParty","711694309","2904"
"3","aamir_khan","aamir_khan","88856792","1634"
"4","AapYogendra","AapYogendra","1317076194","584"
"5","abdullah_omar","abdullah_omar","138822469","44"
"6","abhijitmajumder","abhijitmajumder","56039856","70"
"7","Abhinav_Bindra","Abhinav_Bindra","95425326","13"
"8","abpnewstv","abpnewstv","39240673","703"
"9","Actor_Siddharth","Actor_Siddharth","53414786","116"
"10","ActorMadhavan","ActorMadhavan","79915337","21"
"11","adgpi","adgpi","1227253801","408"
"12","aditiraohydari","aditiraohydari","251521725","125"
"13","adityakalra","adityakalra","79530637","2"
"14","ADTSinghSharma","ADTSinghSharma","80404504","30"
"15","airnewsalerts","airnewsalerts","1056850669","1670"
"16","ajaydevgn","ajaydevgn","65659343","242"
"17","ajaymaken","ajaymaken","59983585","361"
"18","akshaykumar","akshaykumar","31348594","425"
"19","aliaa08","aliaa08","183230911","640"
"20","AliZafarsays","AliZafarsays","69229721","154"
"21","AllIndiaBakchod","AllIndiaBakchod","468479147","14"
"22","ambkcsingh","ambkcsingh","1401726968","54"
"23","AmitShahOffice","AmitShahOffice","1447949844","142"
"24","amolrajan","amolrajan","38162820","10"
"25","AmritaRao","AmritaRao","285475285","21"
"26","anandibenpatel","anandibenpatel","378056166","14"
"27","anandmahindra","anandmahindra","34197952","34"
"28","AnanthKumar_BJP","AnanthKumar_BJP","243023355","3"
"29","AndPicturesIN","AndPicturesIN","1639712454","3390"
"30","ANI_news","ANI_news","355989081","456"
"31","AnilKapoor","AnilKapoor","1652526218","86"
"32","AnirudhChaudhry","AnirudhChaudhry","121033748","6"
"33","anubhabhonsle","anubhabhonsle","42350663","6"
"34","anubhavsinha","anubhavsinha","57947582","307"
"35","anupamachopra","anupamachopra","111615736","65"
"36","AnupamPkher","AnupamPkher","76294950","2756"
"37","AnushkaSharma","AnushkaSharma","54829997","159"
"38","arbaazSkhan","arbaazSkhan","123774113","2"
"39","ArjunArtist","ArjunArtist","57214438","34"
"40","arjunk26","arjunk26","2469605695","1432"
"41","arrahman","arrahman","19895282","156"
"42","ArshadWarsi","ArshadWarsi","118024094","30"
"43","arunjaitley","arunjaitley","2183816041","831"
