"sno","nodes","id","celebrity_twitter_id","weight"
"1","aajtak","aajtak","42606652","160"
"2","AamAadmiParty","AamAadmiParty","711694309","134"
"3","aamir_khan","aamir_khan","88856792","244"
"4","AapYogendra","AapYogendra","1317076194","41"
"5","abdullah_omar","abdullah_omar","138822469","37"
"6","abhijitmajumder","abhijitmajumder","56039856","14"
"7","Abhinav_Bindra","Abhinav_Bindra","95425326","3"
"8","abpnewstv","abpnewstv","39240673","144"
"9","Actor_Siddharth","Actor_Siddharth","53414786","22"
"10","ActorMadhavan","ActorMadhavan","79915337","5"
"11","adgpi","adgpi","1227253801","50"
"12","aditiraohydari","aditiraohydari","251521725","52"
"13","adityakalra","adityakalra","79530637","2"
"14","ADTSinghSharma","ADTSinghSharma","80404504","13"
"15","airnewsalerts","airnewsalerts","1056850669","269"
"16","ajaydevgn","ajaydevgn","65659343","41"
"17","ajaymaken","ajaymaken","59983585","47"
"18","akshaykumar","akshaykumar","31348594","86"
"19","aliaa08","aliaa08","183230911","135"
"20","AliZafarsays","AliZafarsays","69229721","51"
"21","AllIndiaBakchod","AllIndiaBakchod","468479147","7"
"22","ambkcsingh","ambkcsingh","1401726968","17"
"23","AmitShahOffice","AmitShahOffice","1447949844","111"
"24","amolrajan","amolrajan","38162820","11"
"25","AmritaRao","AmritaRao","285475285","27"
"26","anandibenpatel","anandibenpatel","378056166","12"
"27","anandmahindra","anandmahindra","34197952","25"
"28","AnanthKumar_BJP","AnanthKumar_BJP","243023355","6"
"29","AndPicturesIN","AndPicturesIN","1639712454","25"
"30","ANI_news","ANI_news","355989081","136"
"31","AnilKapoor","AnilKapoor","1652526218","36"
"32","AnirudhChaudhry","AnirudhChaudhry","121033748","5"
"33","anubhabhonsle","anubhabhonsle","42350663","5"
"34","anubhavsinha","anubhavsinha","57947582","14"
"35","anupamachopra","anupamachopra","111615736","18"
"36","AnupamPkher","AnupamPkher","76294950","187"
"37","AnushkaSharma","AnushkaSharma","54829997","63"
"38","arbaazSkhan","arbaazSkhan","123774113","6"
"39","ArjunArtist","ArjunArtist","57214438","26"
"40","arjunk26","arjunk26","2469605695","124"
"41","arrahman","arrahman","19895282","45"
"42","ArshadWarsi","ArshadWarsi","118024094","17"
"43","arunjaitley","arunjaitley","2183816041","112"
"44","ArvindKejriwal","ArvindKejriwal","405427035","540"
"45","ash_r_dhanush","ash_r_dhanush","347257032","15"
"46","ashabhosle","ashabhosle","124258971","10"
"47","ashesinwind","ashesinwind","18236129","12"
"48","ashutosh83B","ashutosh83B","78259714","98"
"49","ashwinravi99","ashwinravi99","358814014","4"
"50","Asli_Jacqueline","Asli_Jacqueline","79708561","91"
"51","asliyoyo","asliyoyo","769727912","38"
"52","atletidekolkata","atletidekolkata","2604848317","122"
"53","atulkasbekar","atulkasbekar","53355887","42"
"54","AUThackeray","AUThackeray","1606048885","22"
"55","authoramish","authoramish","87233065","3"
"56","Ayeshatakia","Ayeshatakia","45162347","5"
"57","ayushmannk","ayushmannk","38403110","65"
"58","AzmiShabana","AzmiShabana","122928781","6"
"59","BajpayeeManoj","BajpayeeManoj","138387944","7"
"60","BCCI","BCCI","185142711","25"
"61","BDUTT","BDUTT","19929890","150"
"62","BecauseImFreida","BecauseImFreida","631232364","4"
"63","BeingSalmanKhan","BeingSalmanKhan","132385468","276"
"64","bhogleharsha","bhogleharsha","78941611","62"
"65","bhupendrachaube","bhupendrachaube","56685329","39"
"66","BibhuMohapatra","BibhuMohapatra","21308332","2"
"67","bindasstv","bindasstv","66319753","17"
"68","bipsluvurself","bipsluvurself","107318424","34"
"69","BJP4India","BJP4India","207809313","167"
"70","BJPRajnathSingh","BJPRajnathSingh","1346439824","52"
"71","bomanirani","bomanirani","113278275","124"
"72","boxofficeindia","boxofficeindia","88147848","65"
"73","BT_India","BT_India","161318053","9"
"74","buzzindelhi","buzzindelhi","165506153","5"
"75","CelinaJaitly","CelinaJaitly","66306024","10"
"76","ChadMMurray","ChadMMurray","39338684","14"
"77","chakrabortty","chakrabortty","26744267","6"
"78","ChannelvIndia","ChannelvIndia","13149332","8"
"79","ChennaiIPL","ChennaiIPL","117407834","34"
"80","ChennaiyinFC","ChennaiyinFC","2809029114","226"
"81","chetan_bhagat","chetan_bhagat","44588485","78"
"82","ChouhanShivraj","ChouhanShivraj","1251083774","18"
"83","chuckpalahniuk","chuckpalahniuk","19314650","20"
"84","CimGOI","CimGOI","2534310320","7"
"85","CMMadhyaPradesh","CMMadhyaPradesh","2506662439","12"
"86","CNBCTV18Live","CNBCTV18Live","44839509","14"
"87","ColorsTV","ColorsTV","18238260","205"
"88","ComedyCentralIn","ComedyCentralIn","428792888","39"
"89","cricketwallah","cricketwallah","92211391","14"
"90","DabbooRatnani","DabbooRatnani","44635677","6"
"91","DalaiLama","DalaiLama","20609518","113"
"92","dalermehndi","dalermehndi","31102690","14"
"93","DDNewsLive","DDNewsLive","1100927498","132"
"94","DeependerSHooda","DeependerSHooda","49375859","3"
"95","deepikapadukone","deepikapadukone","101695592","400"
"96","deespeak","deespeak","113352671","34"
"97","DelhiDaredevils","DelhiDaredevils","176888549","9"
"98","DelhiDynamos","DelhiDynamos","2615362436","95"
"99","Dev_Fadnavis","Dev_Fadnavis","137780376","140"
"100","dhanushkraja","dhanushkraja","152251488","95"
"101","DharmaMovies","DharmaMovies","207997374","13"
"102","Dhoom3TheMovie","Dhoom3TheMovie","246166695","5"
"103","dhume","dhume","47685065","28"
"104","DianaPenty","DianaPenty","1302871633","12"
"105","digvijaya_28","digvijaya_28","371730289","73"
"106","divyadutta25","divyadutta25","131442654","12"
"107","dna","dna","17710740","163"
"108","dreamgirlhema","dreamgirlhema","333982951","7"
"109","drharshvardhan","drharshvardhan","77732185","49"
"110","DrKumarVishwas","DrKumarVishwas","141633175","112"
"111","drramansingh","drramansingh","373280952","9"
"112","DrSYQuraishi","DrSYQuraishi","505694805","24"
"113","duttsanjay","duttsanjay","149198901","2"
"114","ErosNow","ErosNow","477875139","26"
"115","ESET","ESET","52446754","6"
"116","ETCBollywood","ETCBollywood","84310561","98"
"117","ETNOWlive","ETNOWlive","225012752","18"
"118","FarahKhanAli","FarahKhanAli","69914008","16"
"119","FarOutAkhtar","FarOutAkhtar","97865628","48"
"120","fbhutto","fbhutto","84352985","5"
"121","FCGoaOfficial","FCGoaOfficial","2677681358","117"
"122","FCPuneCity","FCPuneCity","2561057052","110"
"123","filmfare","filmfare","35695228","47"
"124","ForeignAffairs","ForeignAffairs","21114659","11"
"125","GargiRawat","GargiRawat","73043514","17"
"126","gauris","gauris","39523524","2"
"127","GautamGambhir","GautamGambhir","99448420","17"
