"sno","nodes","id","celebrity_twitter_id","weight"
"1","aajtak","aajtak","42606652","4304"
"2","AamAadmiParty","AamAadmiParty","711694309","3688"
"3","aamir_khan","aamir_khan","88856792","2323"
"4","AapYogendra","AapYogendra","1317076194","603"
"5","abdullah_omar","abdullah_omar","138822469","68"
"6","abhijitmajumder","abhijitmajumder","56039856","73"
"7","Abhinav_Bindra","Abhinav_Bindra","95425326","14"
"8","abpnewstv","abpnewstv","39240673","1106"
"9","Actor_Siddharth","Actor_Siddharth","53414786","248"
"10","ActorMadhavan","ActorMadhavan","79915337","24"
"11","adgpi","adgpi","1227253801","553"
"12","aditiraohydari","aditiraohydari","251521725","190"
"13","adityakalra","adityakalra","79530637","2"
"14","ADTSinghSharma","ADTSinghSharma","80404504","55"
"15","airnewsalerts","airnewsalerts","1056850669","2649"
"16","ajaydevgn","ajaydevgn","65659343","279"
"17","ajaymaken","ajaymaken","59983585","563"
"18","akshaykumar","akshaykumar","31348594","571"
"19","aliaa08","aliaa08","183230911","1210"
"20","AliZafarsays","AliZafarsays","69229721","248"
"21","AllIndiaBakchod","AllIndiaBakchod","468479147","15"
"22","ambkcsingh","ambkcsingh","1401726968","67"
"23","AmitShahOffice","AmitShahOffice","1447949844","210"
"24","amolrajan","amolrajan","38162820","11"
"25","AmritaRao","AmritaRao","285475285","36"
"26","anandibenpatel","anandibenpatel","378056166","19"
"27","anandmahindra","anandmahindra","34197952","68"
"28","AnanthKumar_BJP","AnanthKumar_BJP","243023355","6"
"29","AndPicturesIN","AndPicturesIN","1639712454","3957"
"30","ANI_news","ANI_news","355989081","546"
"31","AnilKapoor","AnilKapoor","1652526218","122"
"32","AnirudhChaudhry","AnirudhChaudhry","121033748","9"
"33","anubhabhonsle","anubhabhonsle","42350663","6"
"34","anubhavsinha","anubhavsinha","57947582","318"
"35","anupamachopra","anupamachopra","111615736","80"
"36","AnupamPkher","AnupamPkher","76294950","3365"
"37","AnushkaSharma","AnushkaSharma","54829997","203"
"38","arbaazSkhan","arbaazSkhan","123774113","6"
"39","ArjunArtist","ArjunArtist","57214438","55"
"40","arjunk26","arjunk26","2469605695","1864"
"41","arrahman","arrahman","19895282","299"
"42","ArshadWarsi","ArshadWarsi","118024094","66"
"43","arunjaitley","arunjaitley","2183816041","896"
"44","ArvindKejriwal","ArvindKejriwal","405427035","4528"
"45","ash_r_dhanush","ash_r_dhanush","347257032","20"
"46","ashabhosle","ashabhosle","124258971","26"
"47","ashesinwind","ashesinwind","18236129","27"
"48","ashutosh83B","ashutosh83B","78259714","192"
"49","ashwinravi99","ashwinravi99","358814014","4"
"50","Asli_Jacqueline","Asli_Jacqueline","79708561","618"
"51","asliyoyo","asliyoyo","769727912","84"
"52","atletidekolkata","atletidekolkata","2604848317","3942"
"53","atulkasbekar","atulkasbekar","53355887","392"
"54","AUThackeray","AUThackeray","1606048885","30"
"55","authoramish","authoramish","87233065","3"
"56","Ayeshatakia","Ayeshatakia","45162347","11"
"57","ayushmannk","ayushmannk","38403110","566"
"58","AzmiShabana","AzmiShabana","122928781","18"
"59","BajpayeeManoj","BajpayeeManoj","138387944","15"
"60","BCCI","BCCI","185142711","133"
"61","BDUTT","BDUTT","19929890","657"
"62","BecauseImFreida","BecauseImFreida","631232364","4"
"63","BeingSalmanKhan","BeingSalmanKhan","132385468","2274"
"64","bhogleharsha","bhogleharsha","78941611","250"
"65","bhupendrachaube","bhupendrachaube","56685329","199"
"66","BibhuMohapatra","BibhuMohapatra","21308332","5"
"67","bindasstv","bindasstv","66319753","32"
"68","bipsluvurself","bipsluvurself","107318424","203"
"69","BJP4India","BJP4India","207809313","465"
"70","BJPRajnathSingh","BJPRajnathSingh","1346439824","106"
"71","bomanirani","bomanirani","113278275","1292"
"72","boxofficeindia","boxofficeindia","88147848","758"
"73","BT_India","BT_India","161318053","63"
"74","buzzindelhi","buzzindelhi","165506153","22"
"75","CelinaJaitly","CelinaJaitly","66306024","20"
"76","ChadMMurray","ChadMMurray","39338684","45"
"77","chakrabortty","chakrabortty","26744267","6"
"78","ChannelvIndia","ChannelvIndia","13149332","45"
"79","ChennaiIPL","ChennaiIPL","117407834","274"
"80","ChennaiyinFC","ChennaiyinFC","2809029114","12955"
"81","chetan_bhagat","chetan_bhagat","44588485","478"
"82","ChouhanShivraj","ChouhanShivraj","1251083774","21"
"83","chuckpalahniuk","chuckpalahniuk","19314650","121"
"84","CimGOI","CimGOI","2534310320","20"
"85","CMMadhyaPradesh","CMMadhyaPradesh","2506662439","15"
"86","CNBCTV18Live","CNBCTV18Live","44839509","47"
"87","ColorsTV","ColorsTV","18238260","2931"
"88","ComedyCentralIn","ComedyCentralIn","428792888","123"
"89","cricketwallah","cricketwallah","92211391","16"
"90","DabbooRatnani","DabbooRatnani","44635677","15"
"91","DalaiLama","DalaiLama","20609518","177"
"92","dalermehndi","dalermehndi","31102690","44"
"93","DDNewsLive","DDNewsLive","1100927498","1500"
"94","DeependerSHooda","DeependerSHooda","49375859","3"
"95","deepikapadukone","deepikapadukone","101695592","3916"
"96","deespeak","deespeak","113352671","115"
"97","DelhiDaredevils","DelhiDaredevils","176888549","20"
"98","DelhiDynamos","DelhiDynamos","2615362436","2611"
"99","Dev_Fadnavis","Dev_Fadnavis","137780376","760"
"100","dhanushkraja","dhanushkraja","152251488","912"
"101","DharmaMovies","DharmaMovies","207997374","173"
"102","Dhoom3TheMovie","Dhoom3TheMovie","246166695","10"
"103","dhume","dhume","47685065","221"
"104","DianaPenty","DianaPenty","1302871633","86"
